model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|9887|9324|5.694346111054921
EB-079|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-080|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-081|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-082|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-157|WellData|FormationZone|Unknown formation: 121CHMTvs
EB-001|WellData|FormationZone|Unknown formation: 112ANCH/123GLST
EB-002|WellData|FormationZone|Unknown formation: 112ANCH/120IRSV
EB-003|WellData|FormationZone|Unknown formation: 121TSUQa
EB-004|WellData|FormationZone|Unknown formation: 121TSUQa
EB-005|WellData|FormationZone|Unknown formation: 121TSUQa
EB-006|WellData|FormationZone|Unknown formation: 121TSUQsa
EB-007|WellData|FormationZone|Unknown formation: 112ANCH/123ESPN
EB-008|WellData|FormationZone|Unknown formation: 121TSUQs
EB-009|WellData|FormationZone|Unknown formation: 121TSUQs
EB-010|WellData|FormationZone|Unknown formation: 121TSUQa
EB-011|WellData|FormationZone|Unknown formation: 121TSUQs
EB-012|WellData|FormationZone|Unknown formation: 121TSUQs
EB-013|WellData|FormationZone|Unknown formation: 121TSUQs
EB-014|WellData|FormationZone|Unknown formation: 121TSUQs
EB-016|WellData|FormationZone|Unknown formation: 121TSUQs
EB-020|WellData|FormationZone|Unknown formation: 121TSUQe/123ESPN
EB-022|WellData|FormationZone|Unknown formation: 121TSUQa
EB-023|WellData|FormationZone|Unknown formation: 121TSUQs
EB-058|WellData|FormationZone|Unknown formation: 121TSUQs
EB-059|WellData|FormationZone|Unknown formation: 121TSUQs
EB-060|WellData|FormationZone|Unknown formation: 121TSUQs
EB-062|WellData|FormationZone|Unknown formation: 121TSUQs
EB-063|WellData|FormationZone|Unknown formation: 121TSUQs
EB-064|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-065|WellData|FormationZone|Unknown formation: 121TSUQsf/121TSUQs
EB-066|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-168|WellData|FormationZone|Unknown formation: 121TSUQs
EB-169|WellData|FormationZone|Unknown formation: 121TSUQs
EB-170|WellData|FormationZone|Unknown formation: 121TSUQs
EB-171|WellData|FormationZone|Unknown formation: 121TSUQs
EB-172|WellData|FormationZone|Unknown formation: 121TSUQs
EB-173|WellData|FormationZone|Unknown formation: 121TSUQs
EB-174|WellData|FormationZone|Unknown formation: 121TSUQs
EB-175|WellData|FormationZone|Unknown formation: 121TSUQs
EB-176|WellData|FormationZone|Unknown formation: 121TSUQs
EB-177|WellData|FormationZone|Unknown formation: 121TSUQs
EB-178|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-179|WellData|FormationZone|Unknown formation: 121TSUQs
EB-180|WellData|FormationZone|Unknown formation: 121TSUQs
EB-181|WellData|FormationZone|Unknown formation: 121TSUQs
EB-182|WellData|FormationZone|Unknown formation: 121TSUQs
EB-183|WellData|FormationZone|Unknown formation: 121TSUQa
EB-184|WellData|FormationZone|Unknown formation: 121TSUQs
EB-185|WellData|FormationZone|Unknown formation: 121TSUQs
EB-186|WellData|FormationZone|Unknown formation: 121TSUQs
EB-187|WellData|FormationZone|Unknown formation: 110ALVM/121TSUQs
EB-188|WellData|FormationZone|Unknown formation: 121TSUQsa
EB-189|WellData|FormationZone|Unknown formation: 121TSUQa
EB-190|WellData|FormationZone|Unknown formation: 121TSUQa
EB-191|WellData|FormationZone|Unknown formation: 110ALVM/121TSUQs
EB-192|WellData|FormationZone|Unknown formation: 110ALVM/121TSUQs
EB-193|WellData|FormationZone|Unknown formation: 121TSUQsa
EB-194|WellData|FormationZone|Unknown formation: 121TSUQs
EB-195|WellData|FormationZone|Unknown formation: 121TSUQsa
EB-196|WellData|FormationZone|Unknown formation: 121TSUQa
EB-197|WellData|FormationZone|Unknown formation: 110ALVM/121TSUQs
EB-198|WellData|FormationZone|Unknown formation: 121TSUQs
EB-199|WellData|FormationZone|Unknown formation: 121TSUQs
EB-200|WellData|FormationZone|Unknown formation: 121TSUQa
EB-201|WellData|FormationZone|Unknown formation: 112ANCH/123ESPN
EB-083|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-084|WellData|FormationZone|Unknown formation: 121TSUQs
EB-085|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-086|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-087|WellData|FormationZone|Unknown formation: 121TSUQs
EB-089|WellData|FormationZone|Unknown formation: 121TSUQs
EB-090|WellData|FormationZone|Unknown formation: 121TSUQs
EB-091|WellData|FormationZone|Unknown formation: 121TSUQs
EB-092|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-093|WellData|FormationZone|Unknown formation: 121TSUQs
EB-094|WellData|FormationZone|Unknown formation: 121TSUQs
EB-095|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-096|WellData|FormationZone|Unknown formation: 121TSUQs
EB-097|WellData|FormationZone|Unknown formation: 121TSUQs
EB-098|WellData|FormationZone|Unknown formation: 121TSUQs
EB-099|WellData|FormationZone|Unknown formation: 121TSUQa
EB-100|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-101|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-104|WellData|FormationZone|Unknown formation: 121TSUQs
EB-105|WellData|FormationZone|Unknown formation: 121TSUQs/121TSUQsf
EB-107|WellData|FormationZone|Unknown formation: 121TSUQs
EB-108|WellData|FormationZone|Unknown formation: 121TSUQs
EB-109|WellData|FormationZone|Unknown formation: 121TSUQs
EB-110|WellData|FormationZone|Unknown formation: 121TSUQs
EB-111|WellData|FormationZone|Unknown formation: 121TSUQa
EB-112|WellData|FormationZone|Unknown formation: 121TSUQs
EB-113|WellData|FormationZone|Unknown formation: 121TSUQs
EB-114|WellData|FormationZone|Unknown formation: 121TSUQs
EB-115|WellData|FormationZone|Unknown formation: 121TSUQs
EB-116|WellData|FormationZone|Unknown formation: 121TSUQs
EB-117|WellData|FormationZone|Unknown formation: 121TSUQa
EB-119|WellData|FormationZone|Unknown formation: 121TSUQa
EB-120|WellData|FormationZone|Unknown formation: 121TSUQs
EB-121|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-122|WellData|FormationZone|Unknown formation: 121TSUQs/121TSUQsf
EB-123|WellData|FormationZone|Unknown formation: 121TSUQs/121TSUQsa
EB-124|WellData|FormationZone|Unknown formation: 121TSUQs
EB-125|WellData|FormationZone|Unknown formation: 121TSUQs
EB-126|WellData|FormationZone|Unknown formation: 121TSUQs
EB-127|WellData|FormationZone|Unknown formation: 121TSUQs
EB-128|WellData|FormationZone|Unknown formation: 121TSUQa
EB-129|WellData|FormationZone|Unknown formation: 121TSUQs/112ANCH
EB-130|WellData|FormationZone|Unknown formation: 121TSUQs
EB-131|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQs
EB-132|WellData|FormationZone|Unknown formation: 112ANCHsr
EB-133|WellData|FormationZone|Unknown formation: 112ANCHsr
EB-134|WellData|FormationZone|Unknown formation: 112ANCHsr
EB-135|WellData|FormationZone|Unknown formation: 112ANCHsr
EB-136|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-137|WellData|FormationZone|Unknown formation: 121TSUQs
EB-138|WellData|FormationZone|Unknown formation: 121TSUQs
EB-140|WellData|FormationZone|Unknown formation: 121TSUQs
EB-141|WellData|FormationZone|Unknown formation: 121TSUQs
EB-142|WellData|FormationZone|Unknown formation: 121TSUQs
EB-143|WellData|FormationZone|Unknown formation: 121TSUQs
EB-144|WellData|FormationZone|Unknown formation: 121TSUQs
EB-145|WellData|FormationZone|Unknown formation: 121TSUQs
EB-146|WellData|FormationZone|Unknown formation: 121TSUQs
EB-147|WellData|FormationZone|Unknown formation: 121TSUQs
EB-148|WellData|FormationZone|Unknown formation: 121TSUQs
EB-149|WellData|FormationZone|Unknown formation: 121TSUQs
EB-150|WellData|FormationZone|Unknown formation: 121TSUQs
EB-151|WellData|FormationZone|Unknown formation: 121TSUQs
EB-152|WellData|FormationZone|Unknown formation: 121TSUQs
EB-153|WellData|FormationZone|Unknown formation: 121TSUQs
EB-154|WellData|FormationZone|Unknown formation: 121TSUQs
EB-155|WellData|FormationZone|Unknown formation: 121TSUQs
EB-156|WellData|FormationZone|Unknown formation: 121TSUQs
EB-158|WellData|FormationZone|Unknown formation: 121TSUQacu/121TSUQsf
EB-159|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-160|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-161|WellData|FormationZone|Unknown formation: 121TSUQacuf
EB-162|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-163|WellData|FormationZone|Unknown formation: 121TSUQacuf
EB-164|WellData|FormationZone|Unknown formation: 121TSUQs
EB-165|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-166|WellData|FormationZone|Unknown formation: 121TSUQs
EB-167|WellData|FormationZone|Unknown formation: 121TSUQs
EB-268|WellData|FormationZone|Unknown formation: 121CHMTv
EB-269|WellData|FormationZone|Unknown formation: 121CHMTv
EB-270|WellData|FormationZone|Unknown formation: 121CHMTv
EB-271|WellData|FormationZone|Unknown formation: 121TSUQa
EB-272|WellData|FormationZone|Unknown formation: 121TSUQs
EB-273|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-274|WellData|FormationZone|Unknown formation: 121TSUQs
EB-275|WellData|FormationZone|Unknown formation: 121TSUQs
EB-276|WellData|FormationZone|Unknown formation: 121TSUQs
EB-277|WellData|FormationZone|Unknown formation: 121TSUQs
EB-278|WellData|FormationZone|Unknown formation: 121TSUQs
EB-279|WellData|FormationZone|Unknown formation: 121TSUQs
EB-280|WellData|FormationZone|Unknown formation: 121TSUQs
EB-281|WellData|FormationZone|Unknown formation: 121TSUQs
EB-282|WellData|FormationZone|Unknown formation: 121TSUQs
EB-283|WellData|FormationZone|Unknown formation: 121TSUQs
EB-284|WellData|FormationZone|Unknown formation: 121TSUQs
EB-285|WellData|FormationZone|Unknown formation: 121TSUQsf/121TSUQs
EB-286|WellData|FormationZone|Unknown formation: 121TSUQs/121TSUQsf
EB-287|WellData|FormationZone|Unknown formation: 121TSUQs/121TSUQsf
EB-288|WellData|FormationZone|Unknown formation: 121TSUQce/121TSUQb
EB-289|WellData|FormationZone|Unknown formation: 121TSUQs/121TSUQsf
EB-290|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-291|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-292|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-293|WellData|FormationZone|Unknown formation: 121TSUQs
EB-294|WellData|FormationZone|Unknown formation: 121TSUQs
EB-295|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-296|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-537|WellData|FormationZone|Unknown formation: 121TSUQs
EB-204|WellData|FormationZone|Unknown formation: 112ANCH/123ESPN
EB-207|WellData|FormationZone|Unknown formation: 121TSUQs
EB-208|WellData|FormationZone|Unknown formation: 121TSUQs
EB-216|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQ
EB-217|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQa
EB-218|WellData|FormationZone|Unknown formation: 121TSUQs
EB-219|WellData|FormationZone|Unknown formation: 121TSUQs
EB-221|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQs
EB-222|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQs
EB-224|WellData|FormationZone|Unknown formation: 121TSUQsa
EB-225|WellData|FormationZone|Unknown formation: 121TSUQs
EB-226|WellData|FormationZone|Unknown formation: 121TSUQs
EB-227|WellData|FormationZone|Unknown formation: 121TSUQs
EB-228|WellData|FormationZone|Unknown formation: 112ANCHsr
EB-229|WellData|FormationZone|Unknown formation: 121TSUQs
EB-232|WellData|FormationZone|Unknown formation: 121TSUQsa
EB-233|WellData|FormationZone|Unknown formation: 121TSUQs
EB-236|WellData|FormationZone|Unknown formation: 121TSUQs
EB-237|WellData|FormationZone|Unknown formation: 121TSUQs
EB-238|WellData|FormationZone|Unknown formation: 121TSUQs
EB-239|WellData|FormationZone|Unknown formation: 121TSUQs
EB-240|WellData|FormationZone|Unknown formation: 121TSUQs
EB-241|WellData|FormationZone|Unknown formation: 121TSUQs
EB-242|WellData|FormationZone|Unknown formation: 121TSUQs
EB-243|WellData|FormationZone|Unknown formation: 121TSUQs
EB-245|WellData|FormationZone|Unknown formation: 121TSUQs
EB-246|WellData|FormationZone|Unknown formation: 121TSUQs
EB-247|WellData|FormationZone|Unknown formation: 121TSUQs
EB-248|WellData|FormationZone|Unknown formation: 121TSUQsa
EB-249|WellData|FormationZone|Unknown formation: 121TSUQs
EB-250|WellData|FormationZone|Unknown formation: 121TSUQs
EB-251|WellData|FormationZone|Unknown formation: 121TSUQa
EB-252|WellData|FormationZone|Unknown formation: 121TSUQa
EB-253|WellData|FormationZone|Unknown formation: 121TSUQs
EB-254|WellData|FormationZone|Unknown formation: 121TSUQa
EB-255|WellData|FormationZone|Unknown formation: 121TSUQa
EB-256|WellData|FormationZone|Unknown formation: 121TSUQa
EB-257|WellData|FormationZone|Unknown formation: 121TSUQa
EB-258|WellData|FormationZone|Unknown formation: 121TSUQa
EB-259|WellData|FormationZone|Unknown formation: 121TSUQa
EB-260|WellData|FormationZone|Unknown formation: 121CHMTv
EB-261|WellData|FormationZone|Unknown formation: 110ALVM/121CHMTv
EB-262|WellData|FormationZone|Unknown formation: 121CHMTv
EB-263|WellData|FormationZone|Unknown formation: 121CHMTv
EB-264|WellData|FormationZone|Unknown formation: 110ALVM/121CHMTv
EB-265|WellData|FormationZone|Unknown formation: 121CHMTv
EB-266|WellData|FormationZone|Unknown formation: 121CHMTv
EB-267|WellData|FormationZone|Unknown formation: 110ALVM/121CHMTv
EB-369|WellData|FormationZone|Unknown formation: 121TSUQs
EB-370|WellData|FormationZone|Unknown formation: 112ANCHsr
EB-371|WellData|FormationZone|Unknown formation: 121TSUQs/400EMBD
EB-372|WellData|FormationZone|Unknown formation: 121TSUQs
EB-373|WellData|FormationZone|Unknown formation: 121TSUQs
EB-374|WellData|FormationZone|Unknown formation: 112ANCH/123ESPN
EB-375|WellData|FormationZone|Unknown formation: 121TSUQa
EB-376|WellData|FormationZone|Unknown formation: 121TSUQa
EB-379|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQe
EB-380|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQe
EB-382|WellData|FormationZone|Unknown formation: 121TSUQs
EB-385|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQe
EB-538|WellData|FormationZone|Unknown formation: 121TSUQa
EB-297|WellData|FormationZone|Unknown formation: 121TSUQs
EB-298|WellData|FormationZone|Unknown formation: 121TSUQb
EB-299|WellData|FormationZone|Unknown formation: 121TSUQb
EB-300|WellData|FormationZone|Unknown formation: 121TSUQacuf
EB-307|WellData|FormationZone|Unknown formation: 120IRSV/121TSUQe
EB-308|WellData|FormationZone|Unknown formation: 120IRSV/112ANCH
EB-309|WellData|FormationZone|Unknown formation: 121TSUQs
EB-310|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQs
EB-311|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQe
EB-313|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQ
EB-315|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQ
EB-317|WellData|FormationZone|Unknown formation: 121TSUQs
EB-318|WellData|FormationZone|Unknown formation: 121TSUQs
EB-319|WellData|FormationZone|Unknown formation: 121TSUQs
EB-320|WellData|FormationZone|Unknown formation: 121TSUQs
EB-321|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQs
EB-322|WellData|FormationZone|Unknown formation: 121TSUQs
EB-324|WellData|FormationZone|Unknown formation: 121TSUQs
EB-325|WellData|FormationZone|Unknown formation: 121TSUQs
EB-326|WellData|FormationZone|Unknown formation: 121TSUQs
EB-327|WellData|FormationZone|Unknown formation: 121TSUQs
EB-328|WellData|FormationZone|Unknown formation: 121TSUQs
EB-329|WellData|FormationZone|Unknown formation: 121TSUQs
EB-331|WellData|FormationZone|Unknown formation: 112ANCH/120IRSV
EB-336|WellData|FormationZone|Unknown formation: 121TSUQs
EB-337|WellData|FormationZone|Unknown formation: 121TSUQs
EB-338|WellData|FormationZone|Unknown formation: 121TSUQs
EB-348|WellData|FormationZone|Unknown formation: 112ANCH/123ESPN
EB-354|WellData|FormationZone|Unknown formation: 121TSUQs
EB-355|WellData|FormationZone|Unknown formation: 121TSUQs
EB-356|WellData|FormationZone|Unknown formation: 121TSUQs
EB-357|WellData|FormationZone|Unknown formation: 121TSUQs
EB-358|WellData|FormationZone|Unknown formation: 121TSUQs
EB-359|WellData|FormationZone|Unknown formation: 121TSUQs
EB-360|WellData|FormationZone|Unknown formation: 121TSUQsa
EB-361|WellData|FormationZone|Unknown formation: 121TSUQs
EB-364|WellData|FormationZone|Unknown formation: 121TSUQs
EB-367|WellData|FormationZone|Unknown formation: 121TSUQs
EB-368|WellData|FormationZone|Unknown formation: 121TSUQs
EB-473|WellData|FormationZone|Unknown formation: 121TSUQs
EB-474|WellData|FormationZone|Unknown formation: 121TSUQs
EB-475|WellData|FormationZone|Unknown formation: 121TSUQs
EB-476|WellData|FormationZone|Unknown formation: 121TSUQs
EB-477|WellData|FormationZone|Unknown formation: 121TSUQs
EB-478|WellData|FormationZone|Unknown formation: 121CHMTv
EB-479|WellData|FormationZone|Unknown formation: 121CHMTv
EB-480|WellData|FormationZone|Unknown formation: 121CHMTv
EB-481|WellData|FormationZone|Unknown formation: 121CHMTv
EB-386|WellData|FormationZone|Unknown formation: 121TSUQsa
EB-391|WellData|FormationZone|Unknown formation: 121TSUQs
EB-392|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQ
EB-393|WellData|FormationZone|Unknown formation: 112ANCH/123ESPN
EB-397|WellData|FormationZone|Unknown formation: 112ANCH/123ESPN
EB-399|WellData|FormationZone|Unknown formation: 112ANCH/123ESPN
EB-400|WellData|FormationZone|Unknown formation: 123ESPN/112ANCH
EB-406|WellData|FormationZone|Unknown formation: 121TSUQs
EB-407|WellData|FormationZone|Unknown formation: 121TSUQs
EB-408|WellData|FormationZone|Unknown formation: 121TSUQs
EB-409|WellData|FormationZone|Unknown formation: 121TSUQs
EB-410|WellData|FormationZone|Unknown formation: 121TSUQs
EB-415|WellData|FormationZone|Unknown formation: 121TSUQs
EB-416|WellData|FormationZone|Unknown formation: 121TSUQacuf
EB-417|WellData|FormationZone|Unknown formation: 121TSUQa
EB-418|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQa
EB-419|WellData|FormationZone|Unknown formation: 121TSUQae
EB-422|WellData|FormationZone|Unknown formation: 121TSUQa/112ANCH
EB-423|WellData|FormationZone|Unknown formation: 121TSUQa/123ESPN
EB-426|WellData|FormationZone|Unknown formation: 121TSUQa/112ANCH
EB-427|WellData|FormationZone|Unknown formation: 121TSUQa
EB-429|WellData|FormationZone|Unknown formation: 121TSUQs
EB-430|WellData|FormationZone|Unknown formation: 121TSUQa
EB-432|WellData|FormationZone|Unknown formation: 121TSUQae
EB-434|WellData|FormationZone|Unknown formation: 121TSUQs
EB-436|WellData|FormationZone|Unknown formation: 121TSUQa/112ANCH
EB-437|WellData|FormationZone|Unknown formation: 121TSUQae
EB-442|WellData|FormationZone|Unknown formation: 121TSUQe
EB-451|WellData|FormationZone|Unknown formation: 121TSUQae
EB-455|WellData|FormationZone|Unknown formation: 121TSUQs
EB-456|WellData|FormationZone|Unknown formation: 112ANCH/231CHNL
EB-459|WellData|FormationZone|Unknown formation: 121TSUQs
EB-460|WellData|FormationZone|Unknown formation: 112ANCHsr
EB-461|WellData|FormationZone|Unknown formation: 318ABO/325MDER
EB-463|WellData|FormationZone|Unknown formation: 121TSUQa
EB-464|WellData|FormationZone|Unknown formation: 121TSUQs
EB-465|WellData|FormationZone|Unknown formation: 123ESPN/112ANCH
EB-466|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-467|WellData|FormationZone|Unknown formation: 121TSUQs
EB-470|WellData|FormationZone|Unknown formation: 121TSUQsa
EB-471|WellData|FormationZone|Unknown formation: 325MDER/400EMBD
EB-472|WellData|FormationZone|Unknown formation: 121TSUQs
EB-586|WellData|FormationZone|Unknown formation: 121TSUQs
EB-587|WellData|FormationZone|Unknown formation: 121TSUQs
EB-588|WellData|FormationZone|Unknown formation: 121TSUQs
EB-589|WellData|FormationZone|Unknown formation: 121TSUQs
EB-590|WellData|FormationZone|Unknown formation: 121TSUQs
EB-591|WellData|FormationZone|Unknown formation: 121TSUQs
EB-592|WellData|FormationZone|Unknown formation: 121TSUQs
EB-593|WellData|FormationZone|Unknown formation: 121TSUQs
EB-596|WellData|FormationZone|Unknown formation: 121TSUQs
EB-597|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-598|WellData|FormationZone|Unknown formation: 121TSUQs
EB-599|WellData|FormationZone|Unknown formation: 121TSUQs
EB-600|WellData|FormationZone|Unknown formation: 121TSUQs
EB-601|WellData|FormationZone|Unknown formation: 121TSUQs
EB-602|WellData|FormationZone|Unknown formation: 121TSUQs
EB-603|WellData|FormationZone|Unknown formation: 121TSUQs
EB-604|WellData|FormationZone|Unknown formation: 121TSUQs
EB-606|WellData|FormationZone|Unknown formation: 121TSUQae
EB-607|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQa
EB-608|WellData|FormationZone|Unknown formation: 121TSUQs
EB-609|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-610|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-611|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-615|WellData|FormationZone|Unknown formation: 121TSUQs
EB-617|WellData|FormationZone|Unknown formation: 121TSUQs
EB-482|WellData|FormationZone|Unknown formation: 121TSUQacuf
EB-483|WellData|FormationZone|Unknown formation: 121TSUQacuf/121TSUQce
EB-484|WellData|FormationZone|Unknown formation: 121CHMTv
EB-485|WellData|FormationZone|Unknown formation: 121CHMTv
EB-486|WellData|FormationZone|Unknown formation: 121TSUQacuf/121TSUQce
EB-487|WellData|FormationZone|Unknown formation: 121TSUQsa
EB-488|WellData|FormationZone|Unknown formation: 121TSUQsf/121TSUQacu
EB-489|WellData|FormationZone|Unknown formation: 121TSUQacu/121TSUQsf
EB-490|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-505|WellData|FormationZone|Unknown formation: 121TSUQs
EB-506|WellData|FormationZone|Unknown formation: 121TSUQa
EB-507|WellData|FormationZone|Unknown formation: 121TSUQs
EB-508|WellData|FormationZone|Unknown formation: 121TSUQs
EB-512|WellData|FormationZone|Unknown formation: 121TSUQs
EB-513|WellData|FormationZone|Unknown formation: 121TSUQs
EB-514|WellData|FormationZone|Unknown formation: 121TSUQa
EB-515|WellData|FormationZone|Unknown formation: 121TSUQs
EB-516|WellData|FormationZone|Unknown formation: 121TSUQs
EB-518|WellData|FormationZone|Unknown formation: 121TSUQa
EB-519|WellData|FormationZone|Unknown formation: 121TSUQa
EB-520|WellData|FormationZone|Unknown formation: 121TSUQa
EB-522|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-523|WellData|FormationZone|Unknown formation: 121TSUQa
EB-525|WellData|FormationZone|Unknown formation: 121TSUQs
EB-528|WellData|FormationZone|Unknown formation: 121TSUQs
EB-529|WellData|FormationZone|Unknown formation: 121TSUQs
EB-530|WellData|FormationZone|Unknown formation: 121TSUQs
EB-531|WellData|FormationZone|Unknown formation: 121TSUQa
EB-534|WellData|FormationZone|Unknown formation: 110ALVM/210CRCS
EB-535|WellData|FormationZone|Unknown formation: 121TSUQs
EB-539|WellData|FormationZone|Unknown formation: 112ANCH/121TSUQ
EB-540|WellData|FormationZone|Unknown formation: 121TSUQa
EB-541|WellData|FormationZone|Unknown formation: 121TSUQs
EB-542|WellData|FormationZone|Unknown formation: 121TSUQs
EB-543|WellData|FormationZone|Unknown formation: 121TSUQbfl
EB-544|WellData|FormationZone|Unknown formation: 121TSUQs
EB-545|WellData|FormationZone|Unknown formation: 121TSUQs
EB-546|WellData|FormationZone|Unknown formation: 121TSUQs
EB-547|WellData|FormationZone|Unknown formation: 121TSUQs
EB-548|WellData|FormationZone|Unknown formation: 121TSUQs
EB-549|WellData|FormationZone|Unknown formation: 123ESPN/400EMBD
EB-550|WellData|FormationZone|Unknown formation: 121TSUQs
EB-551|WellData|FormationZone|Unknown formation: 121TSUQs
EB-552|WellData|FormationZone|Unknown formation: 121TSUQs
EB-553|WellData|FormationZone|Unknown formation: 121TSUQs
EB-554|WellData|FormationZone|Unknown formation: 121TSUQs
EB-555|WellData|FormationZone|Unknown formation: 121TSUQs
EB-556|WellData|FormationZone|Unknown formation: 121TSUQs
EB-557|WellData|FormationZone|Unknown formation: 121TSUQs
EB-558|WellData|FormationZone|Unknown formation: 121TSUQs
EB-559|WellData|FormationZone|Unknown formation: 121TSUQs
EB-560|WellData|FormationZone|Unknown formation: 121TSUQs
EB-561|WellData|FormationZone|Unknown formation: 121TSUQs
EB-562|WellData|FormationZone|Unknown formation: 121TSUQs
EB-563|WellData|FormationZone|Unknown formation: 121TSUQa
EB-564|WellData|FormationZone|Unknown formation: 121TSUQa
EB-565|WellData|FormationZone|Unknown formation: 121TSUQa
EB-566|WellData|FormationZone|Unknown formation: 121TSUQa
EB-567|WellData|FormationZone|Unknown formation: 121TSUQa
EB-568|WellData|FormationZone|Unknown formation: 121TSUQa
EB-569|WellData|FormationZone|Unknown formation: 121TSUQs
EB-570|WellData|FormationZone|Unknown formation: 121TSUQa
EB-572|WellData|FormationZone|Unknown formation: 121TSUQa
EB-573|WellData|FormationZone|Unknown formation: 121TSUQs
EB-574|WellData|FormationZone|Unknown formation: 112ANCH/123ESPN
EB-575|WellData|FormationZone|Unknown formation: 121TSUQa
EB-576|WellData|FormationZone|Unknown formation: 121TSUQa
EB-578|WellData|FormationZone|Unknown formation: 121TSUQs
EB-579|WellData|FormationZone|Unknown formation: 121TSUQs
EB-582|WellData|FormationZone|Unknown formation: 121TSUQs
EB-583|WellData|FormationZone|Unknown formation: 121TSUQs
EB-584|WellData|FormationZone|Unknown formation: 121TSUQs
EB-585|WellData|FormationZone|Unknown formation: 121TSUQs
EB-619|WellData|FormationZone|Unknown formation: 121TSUQs
EB-625|WellData|FormationZone|Unknown formation: 121TSUQb
EB-626|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-627|WellData|FormationZone|Unknown formation: 121TSUQsa
EB-628|WellData|FormationZone|Unknown formation: 121TSUQacu
EB-629|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-630|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-631|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-632|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-633|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-634|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-635|WellData|FormationZone|Unknown formation: 121TSUQa
EB-636|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-637|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-638|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-639|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-640|WellData|FormationZone|Unknown formation: 112ANCH/123GLST
EB-641|WellData|FormationZone|Unknown formation: 121TSUQs
EB-642|WellData|FormationZone|Unknown formation: 121TSUQsf
EB-643|WellData|FormationZone|Unknown formation: 121TSUQs
EB-645|WellData|FormationZone|Unknown formation: 121TSUQs
EB-646|WellData|FormationZone|Unknown formation: 121TSUQs
EB-649|WellData|FormationZone|Unknown formation: 121TSUQa
EB-650|WellData|FormationZone|Unknown formation: 121TSUQa
EB-651|WellData|FormationZone|Unknown formation: 121TSUQa
EB-655|WellData|FormationZone|Unknown formation: 121TSUQs
EB-658|WellData|FormationZone|Unknown formation: 121TSUQs
